Team,Priority component,Found in filepath
identity,TYPOGRAPHY,/src/components/Registration/AccountDetails/AccountDetails.js
identity,TYPOGRAPHY,/src/components/Registration/AccountDetails/DeliveryInfo/DeliveryInfo.js
identity,TYPOGRAPHY,/src/components/Registration/AccountDetails/MarketingPreferences.js
identity,TYPOGRAPHY,/src/components/Registration/Success/Success.js
identity,TYPOGRAPHY,/src/components/Registration/YourDetails/YourDetails.js
identity,TYPOGRAPHY,/src/components/ResetPassword/DetailsForm.js
identity,TYPOGRAPHY,/src/components/ResetPassword/ResetPassword.js
identity,TYPOGRAPHY,/src/components/ResetPassword/Success.js
identity,BUTTON,/src/components/AuthenticationAction/SignOut/SignOut.js
identity,BUTTON,/src/components/ReturnToAdmin/ReturnToAdmin.js
identity,ANCHOR_LINK,/src/components/ForgotPassword/Form.js
identity,ANCHOR_LINK,/src/components/Registration/AccountDetails/errors.js
recipes,TYPOGRAPHY,/src/components/Recipes/Content/Allergens/index.js
recipes,TYPOGRAPHY,/src/components/Recipes/Content/CourseDetails/index.js
recipes,TYPOGRAPHY,/src/components/Recipes/Content/Ingredients/index.js
recipes,TYPOGRAPHY,/src/components/Recipes/Content/Method/index.js
buyTrolley,TYPOGRAPHY,/src/components/Trolley/TrolleyList/TrolleyList.js
buyTrolley,TYPOGRAPHY,/src/components/Trolley/TrolleyPod/TrolleyPod.js
buyTrolley,TYPOGRAPHY,/src/components/Trolley/TrolleySize/index.js
buyTrolley,TYPOGRAPHY,/src/components/Trolley/TrolleySummary/TrolleySummary.js
buyTrolley,BUTTON,/src/components/Trolley/TrolleyPod/TrolleyPod.js
crossCutting,TYPOGRAPHY,/src/cms-components/CmsContentFragment/index.js
crossCutting,TYPOGRAPHY,/src/cms-components/CmsErrorBoundary/index.js
crossCutting,TYPOGRAPHY,/src/cms-components/CmsMissedFavourites/index.js
crossCutting,TYPOGRAPHY,/src/cms-components/CmsMissedOffers/index.js
crossCutting,TYPOGRAPHY,/src/cms-components/CmsRecentOrder/index.js
crossCutting,TYPOGRAPHY,/src/cms-components/WaitroseMobileContent/index.js
crossCutting,TYPOGRAPHY,/src/components/AmendOrderAlert/AmendOrderAlert.js
crossCutting,TYPOGRAPHY,/src/components/Branch/BranchAddress/BranchAddress.js
crossCutting,TYPOGRAPHY,/src/components/Button/Submit.js
crossCutting,TYPOGRAPHY,/src/components/CarouselSlide/CarouselSlide.js
crossCutting,TYPOGRAPHY,/src/components/Conflict/Resolution/Message/index.js
crossCutting,TYPOGRAPHY,/src/components/CustomerFeedback/CustomerFeedback.js
crossCutting,TYPOGRAPHY,/src/components/CustomerFeedback/FeedbackSelector/index.js
crossCutting,TYPOGRAPHY,/src/components/CustomerFeedback/ThankYouMessage/index.js
crossCutting,TYPOGRAPHY,/src/components/Error/ErrorPanel/index.js
crossCutting,TYPOGRAPHY,/src/components/ExtendedNavigationCard/index.js
crossCutting,TYPOGRAPHY,/src/components/Favourites/FavouritesSorting/FavouritesSorting.js
crossCutting,TYPOGRAPHY,/src/components/Form/RadioButton/index.js
crossCutting,TYPOGRAPHY,/src/components/Form/TextInput/index.js
crossCutting,TYPOGRAPHY,/src/components/Form/with-max-length-list/index.js
